window,k,beta,n_samples,accuracy,balanced_accuracy,precision,recall,f1,kappa,pred_positive_rate
720,2.0,1.0,656377,0.5092027904695016,0.5736291104022105,0.21971479118345424,0.6744195866798416,0.3314489685800855,0.08149271577160999,0.5537259836953459
720,2.5,2.0,656377,0.786918188784799,0.5941393289311776,0.38177109164049156,0.2925502715211094,0.3312581882166184,0.20715738550135987,0.13823610516517185
720,1.5,1.0,656377,0.4700286573112708,0.5692668137817725,0.21391915816771812,0.7245179761331678,0.3303114718435537,0.07175070462546262,0.6109750951054044
120,2.5,1.0,656977,0.5298313335170028,0.5713140916149793,0.22113293591479535,0.6362340838181971,0.3281962278595539,0.0823565133109686,0.5193515145887908
360,1.0,2.5,656737,0.57271632327705,0.5743556317656691,0.2287058540078571,0.5769201549798678,0.32755897964318664,0.09331054359128921,0.4550345115320136
500,1.0,1.0,656597,0.4019817330874189,0.5595909813054625,0.20524451170749744,0.8061435579610413,0.32718705288679845,0.05564800090145472,0.7084589177227432
500,2.5,1.0,656597,0.527224461884535,0.5701259415664384,0.2200740675939696,0.6372379319953053,0.32716104238961513,0.0806414287107371,0.5222838362039425
500,2.0,1.0,656597,0.5071451742849876,0.5665498894014858,0.2161258723456066,0.6594783548504217,0.32555880912435003,0.07394592535052558,0.5503863100196924
120,2.0,1.0,656977,0.5085627046304513,0.5638143535441642,0.21510598119423052,0.6502824858757063,0.32327597951779197,0.07135162353751112,0.5456918583146746
500,1.5,1.0,656597,0.46756686369264555,0.5599460363628865,0.2096135147968836,0.704457372522861,0.3230904472016977,0.06242398122148196,0.6061907075420692
360,2.5,1.0,656737,0.5250229543942248,0.5649119141655377,0.2172347266881029,0.6273139355263491,0.32271526184029686,0.0747777590948353,0.5209086742485957
240,2.5,1.0,656857,0.5249300837168516,0.5639866032276837,0.21689102188926607,0.6251085902247713,0.3220439510303399,0.07381144284359065,0.52023499787625
360,1.0,1.0,656737,0.4005378104172599,0.5504953150382225,0.20164731287236903,0.7850878303662623,0.32087810482264195,0.04745160723734487,0.7023146251848152
500,1.5,2.5,656597,0.704540227871891,0.5804187924587394,0.2738319715063901,0.3862521425616171,0.32046881129854843,0.13864135166299552,0.25442546950412503
360,2.0,1.0,656737,0.5050240811770922,0.5598447938294384,0.21270802741067057,0.645605949336102,0.3199891221354085,0.06673044072951018,0.5475068406378809
240,2.0,1.0,656857,0.5048526543829175,0.5580665932954889,0.21195624905925442,0.6413444102391094,0.3186144392790626,0.0648857493996744,0.546173672504061
240,1.0,2.5,656857,0.5733546266538988,0.5641745685204709,0.2232037691401649,0.5498081221271033,0.3175093334242525,0.08172612424906422,0.44462645598661504
360,1.5,1.0,656737,0.46593232907541376,0.5526266779976211,0.20623758995307895,0.6882507364920188,0.31737289125205326,0.0550662636532393,0.6019837469184772
240,1.0,1.0,656857,0.3995146584416395,0.5439125904161154,0.19911786262739076,0.7698899337915911,0.3164037248027286,0.0414746754057328,0.6979175071590925
